update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,return_mean,return_std,return_min,return_max
21,2688,114.13013879180889,23,0.0,0.0,0.0,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",0.0,0.0,0.0,0.0
22,2816,142.92504321394048,23,0.007874015748031496,0.08838560756158917,0.0,1.0,"['None', 'None', '-0.019']","['None', 'None', '0.002']",0.0,0.0,0.0,0.0
23,2944,140.9868966207268,24,0.03937007874015748,0.23144784971179638,-1.0,1.0,"['None', '-0.033', '-0.035']","['None', '0.000', '0.000']",-0.0078125,0.08804240366863003,-1.0,0.0
21,2688,47.061161962633044,2,0.9360526204109192,0.0,0.9360526204109192,0.9360526204109192,"['-0.481', 'None', '-0.004']","['0.250', 'None', '0.002']",0.9360526204109192,0.0,0.9360526204109192,0.9360526204109192
22,2816,165.52990228920928,3,0.0,0.0,0,0,"['None', 'None', 'None']","['None', 'None', 'None']",0.0,0.0,0,0
23,2944,96.24776725889112,4,2.6930526331067086,5.155255816153311,0.0,13.0,"['-0.024', 'None', '0.011']","['0.008', 'None', '0.000']",0.07754386092225711,0.13533709218539197,0.0,0.3700000047683716
24,3072,106.7987932216391,6,0.03895358475819817,0.19489191545425297,-0.09894736856222153,1.0,"['0.025', 'None', '0.027']","['0.000', 'None', '0.000']",-0.0004132401227252558,0.011356675518492182,-0.09894736856222153,0.07631579041481018
25,3200,126.76454329471555,7,-0.003762950578073817,0.042239015479545505,-0.47789472341537476,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",-0.0037335525266826153,0.04207500015004473,-0.47789472341537476,0.0
26,3328,82.93960946288865,8,0.06377745566405649,0.3162731897672769,-1.0,1.0,"['-0.006', 'None', '0.021']","['0.009', 'None', '0.026']",-0.02265830570831895,0.12973875018223235,-1.0,0.0
27,3456,100.56888695736878,9,0.0,0.0,0.0,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",0.0,0.0,0.0,0.0
28,3584,150.85071657270183,10,-0.015748031496062992,0.12449912047907007,-1.0,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",-0.015625,0.12401959270615269,-1.0,0.0
29,3712,159.97278676429835,11,-0.015748031496062992,0.12449912047907011,-1.0,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",-0.015625,0.12401959270615269,-1.0,0.0
30,3840,135.02208833573806,12,-0.023622047244094488,0.15186851592114892,-1.0,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",-0.0234375,0.15128841196122722,-1.0,0.0
31,3968,107.16565945982308,13,0.007874015748031496,0.15349282432770017,-1.0,1.0,"['-0.045', 'None', '-0.061']","['0.010', 'None', '0.001']",-0.0078125,0.08804240366863003,-1.0,0.0
32,4096,154.94454335637474,14,0.0,0.0,0.0,0.0,"['None', 'None', 'None']","['None', 'None', 'None']",0.0,0.0,0.0,0.0
