update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
77,19712,40.70201181,458,0,0,0,0,1.932056487,-0.008878343,-0.003269777,2.65E-06,0.002260717,0,0,0,0
,,,,,,,,,,,,,,,,
78,19968,40.5311577,464,0,0,0,0,1.921163321,-0.01052311,-0.003986508,2.27E-06,0.008327111,0,0,0,0
,,,,,,,,,,,,,,,,
79,20224,40.45508003,471,0,0,0,0,1.923548281,-0.008949431,-0.003695849,1.69E-06,0.006258795,0,0,0,0
,,,,,,,,,,,,,,,,
80,20480,39.73848396,477,0,0,0,0,1.935737729,-0.005406403,-0.003088045,2.30E-06,0.003679615,0,0,0,0
,,,,,,,,,,,,,,,,
81,20736,39.87837899,484,0,0,0,0,1.937924623,-0.002684803,-0.000879704,6.06E-07,0.002897294,0,0,0,0
,,,,,,,,,,,,,,,,
82,20992,39.26362863,490,0,0,0,0,1.94036442,-0.003183762,-0.000834018,3.32E-07,0.001623581,0,0,0,0
,,,,,,,,,,,,,,,,
83,21248,39.38894105,497,0,0,0,0,1.944732368,-0.002882165,-0.000797539,3.54E-07,0.001174819,0,0,0,0
,,,,,,,,,,,,,,,,
84,21504,38.5240045,503,0,0,0,0,1.94491905,-0.002174023,-0.000452998,2.57E-07,0.001533055,0,0,0,0
,,,,,,,,,,,,,,,,
85,21760,37.75080831,510,0,0,0,0,1.94214952,-0.002284525,-0.000551341,3.88E-07,0.001867443,0,0,0,0
,,,,,,,,,,,,,,,,
86,22016,38.72776559,517,0,0,0,0,1.944716394,-0.00110635,-0.000383711,1.46E-07,0.000834359,0,0,0,0
,,,,,,,,,,,,,,,,
87,22272,38.34615836,523,0,0,0,0,1.945207834,-0.000821673,-0.000269378,9.97E-08,0.000453776,0,0,0,0
,,,,,,,,,,,,,,,,
88,22528,38.45735131,530,-1,0,-1,-1,1.904107332,-0.045661483,0.051284051,0.016029027,0.012420677,-1,0,-1,-1
,,,,,,,,,,,,,,,,
89,22784,39.23479541,537,0,0,0,0,1.903744817,-0.023244252,-0.014330072,7.59E-05,0.030634705,0,0,0,0
,,,,,,,,,,,,,,,,
90,23040,38.93015755,543,0,0,0,0,1.919027686,-0.012170244,-0.005752014,1.60E-05,0.009379086,0,0,0,0
,,,,,,,,,,,,,,,,
91,23296,39.67957887,550,0,0,0,0,1.906851351,-0.02099155,-0.002600551,6.95E-06,0.006462249,0,0,0,0
,,,,,,,,,,,,,,,,
92,23552,39.57191701,556,0,0,0,0,1.923272967,-0.0111306,-0.004647837,3.13E-06,0.003843257,0,0,0,0
,,,,,,,,,,,,,,,,
93,23808,39.37848826,563,0,0,0,0,1.872562587,-0.020268912,-0.006249672,8.56E-05,0.019323709,0,0,0,0
,,,,,,,,,,,,,,,,
94,24064,40.01376089,569,0,0,0,0,1.925809443,-0.008884639,-0.004293548,2.96E-06,0.003208551,0,0,0,0
,,,,,,,,,,,,,,,,
