update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,return_mean,return_std,return_min,return_max
80,20480,30.56359337,589,6,0,6,6,"['0.156', '-0.025', '0.001']","['0.233', '0.003', '0.000']",0,0,0,0
,,,,,,,,,,,,,
81,20736,30.39941107,598,5.488245487,1.761070909,3,6.824736595,"['-0.392', '0.106', '-0.117']","['0.418', '0.042', '0.011']",0.73236841,0.092368424,0.639999986,0.824736834
,,,,,,,,,,,,,
82,20992,30.74275972,606,5.436644793,1.601566341,3,6.919473648,"['-0.336', '-0.066', '-0.036']","['0.179', '0.046', '0.039']",0.248859664,0.883881902,-1,0.919473708
,,,,,,,,,,,,,
83,21248,31.03119712,614,6.613223672,0.36494016,6,6.919473648,"['-0.594', '-0.391', '-0.094']","['0.203', '0.115', '0.011']",0.817631582,0.102199516,0.677894711,0.919473708
,,,,,,,,,,,,,
84,21504,30.64785722,623,6.708105183,0.357993096,6,6.945526123,"['-0.444', '0.010', '-0.075']","['0.141', '0.028', '0.019']",0.885131568,0.059222365,0.810526311,0.945526302
,,,,,,,,,,,,,
85,21760,30.53163507,631,6.645197272,0.376798143,6,6.950263023,"['-0.293', '0.022', '-0.040']","['0.080', '0.030', '0.008']",0.860263149,0.065493011,0.796315789,0.950263143
,,,,,,,,,,,,,
86,22016,33.83543422,639,6.427467108,1.295655637,3,6.957368374,"['0.023', '-0.010', '-0.146']","['0.054', '0.039', '0.009']",0.917105266,0.024020177,0.886315763,0.957368433
,,,,,,,,,,,,,
87,22272,30.47509939,647,6.80542779,0.305576832,6,6.94315815,"['-0.114', '-0.258', '-0.037']","['0.014', '0.008', '0.008']",0.920488724,0.028360586,0.862631559,0.943157911
,,,,,,,,,,,,,
88,22528,30.44602681,655,6.780338355,0.322003009,6,6.954999924,"['0.009', '-0.047', '0.018']","['0.005', '0.008', '0.006']",0.910394728,0.050638754,0.819999993,0.954999983
,,,,,,,,,,,,,
89,22784,30.23871359,664,6.775601387,0.319964695,6,6.950263023,"['0.225', '0.028', '-0.024']","['0.048', '0.012', '0.007']",0.904868414,0.049707072,0.824736834,0.950263143
,,,,,,,,,,,,,
90,23040,29.77453191,672,6.687829018,0.397566496,6,6.933684349,"['0.477', '-0.069', '0.021']","['0.281', '0.012', '0.006']",0.917105258,0.021792921,0.886315763,0.93368423
,,,,,,,,,,,,,
91,23296,28.92637631,681,6.478772004,0.354857198,6,6.848421097,"['0.602', '0.036', '0.026']","['0.433', '0.001', '0.005']",0.718157887,0.13026315,0.587894738,0.848421037
,,,,,,,,,,,,,
92,23552,29.30715006,690,5.895789464,0.692795256,5,6.687368393,"['0.357', '0.226', '0.190']","['0.228', '0.015', '0.103']",-0.156315804,0.843684196,-1,0.687368393
,,,,,,,,,,,,,
93,23808,37.54833321,697,0,0,0,0,"['0.818', 'None', 'None']","['0.478', 'None', 'None']",0,0,0,0
,,,,,,,,,,,,,
94,24064,28.77787107,706,5.5,0.5,5,6,"['0.129', '0.099', '0.117']","['0.055', '0.001', '0.031']",-1,0,-1,-1
,,,,,,,,,,,,,
95,24320,27.99983519,715,2.925000032,2.842167643,0,6.775000095,"['0.694', '1.260', '-0.059']","['0.573', '3.346', '0.001']",-0.112500012,0.887499988,-1,0.774999976
,,,,,,,,,,,,,
96,24576,28.87786794,724,6.623289585,0.360888924,6,6.857894897,"['-0.117', '-0.070', '-0.152']","['0.096', '0.033', '0.006']",0.831052621,0.031499892,0.786842108,0.857894719
,,,,,,,,,,,,,
97,24832,29.09454312,733,6.518245697,0.372653101,6,6.860263348,"['-0.099', '-0.093', '-0.034']","['0.336', '0.018', '0.005']",0.777368426,0.082894742,0.694473684,0.860263169
,,,,,,,,,,,,,
98,25088,32.39534772,740,5.861447453,1.653381984,3,6.921842098,"['-0.078', '-0.116', '-0.051']","['0.270', '0.025', '0.008']",0.815263152,0.076403761,0.746578932,0.921842098
,,,,,,,,,,,,,
99,25344,29.6358216,749,6,0,6,6,"['-0.204', '-0.039', '0.059']","['0.020', '0.000', '0.000']",0,0,0,0
,,,,,,,,,,,,,
100,25600,30.42313725,758,6.353157997,0.353157997,6,6.706315994,"['0.087', '0.137', '0.008']","['0.011', '0.002', '0.002']",0.706315815,0,0.706315815,0.706315815
,,,,,,,,,,,,,
101,25856,30.34188619,766,6.541140238,0.391781406,6,6.914736748,"['0.260', '-0.073', '-0.078']","['0.214', '0.009', '0.003']",0.811710536,0.10302633,0.708684206,0.914736867
,,,,,,,,,,,,,
102,26112,33.93402865,774,4.707631588,2.927293549,-1,6.850789547,"['0.426', '0.217', '-0.008']","['3.133', '0.190', '0.114']",-0.11546053,0.886424492,-1,0.850789487
,,,,,,,,,,,,,
103,26368,29.88879707,782,5.920488766,2.417087907,0,6.94315815,"['-0.039', '-0.445', '-0.243']","['0.114', '0.061', '0.006']",0.907236854,0.018162195,0.886315763,0.943157911
,,,,,,,,,,,,,
104,26624,34.1642902,790,6.050394773,2.286952622,0,6.945526123,"['-0.374', '-0.047', '-0.104']","['0.306', '0.004', '0.003']",0.91473685,0.02487245,0.874473691,0.945526302
,,,,,,,,,,,,,
